Session,Date,Present,Reason,No Reason,Visitors,% Accounted For
42D-Man2Man Wednesday Group,03/12/2023,20,0,51,1,27.14%
84D-KIDS CLUB 1st GRADE - RM 08,03/08/2023,7,0,6,0,53.85%
84D-KIDS CLUB 2nd & 3rd RM 15,03/08/2023,5,0,3,0,62.50%
84D-KIDS CLUB 2nd & 3rd RM 20,03/08/2023,4,0,10,0,28.57%
84D-KIDS CLUB 4TH & 5TH BOYS - RM 14,03/08/2023,8,0,1,0,88.89%
84D-KIDS CLUB 4th & 5th GIRLS - RM 16,03/08/2023,5,0,2,0,71.43%
84D-KIDS CLUB CUBBIES RM 110,03/08/2023,9,0,8,0,52.94%
84D-KIDS CLUB KINDERGARTEN - RM 09,03/08/2023,8,0,4,0,66.67%
84D-KIDS CLUB PUGGLES RM 111 (2's),03/08/2023,2,0,3,0,40.00%
44D-WM Garden at Grove Tuesday Morning,03/07/2023,37,0,37,0,50.00%
42C-Man2Man Sunday Group,03/05/2023,5,0,15,1,21.05%
42D-Man2Man Wednesday Group,03/05/2023,21,0,49,0,30.00%
50C-Kids Collective - RM 5,03/05/2023,16,0,22,1,40.54%
50C-Kids Collective Jr. RM 123/124,03/05/2023,5,0,14,0,26.32%
70A-SS Adult Cobb - Median Adults - Worship Studio,03/05/2023,11,0,13,3,38.10%
70A-SS Adult College RM 219,03/05/2023,8,0,89,1,7.29%
70A-SS Adult Grace and Truth - Kunsitis-Rm 172,03/05/2023,6,0,12,0,33.33%
70A-SS Adult Homebuilders-Rm 212,03/05/2023,14,0,25,0,35.90%
70A-SS Adult Ladies of Grace-Meloy- RM 173,03/05/2023,2,0,16,0,11.11%
70A-SS Adult Penner - Rm 210,03/05/2023,19,0,9,3,64.00%
70A-SS Adult Truth Seekers - Cantrell Rm 205,03/05/2023,26,0,46,1,35.21%
70A-SS Adults McGraw-Median Adults-Rm 105,03/05/2023,42,0,31,0,57.53%
70A-SS WM Word of Truth Class-Rm 171,03/05/2023,7,0,13,1,31.58%
80A-Youth Sunday Morning Lounge,03/05/2023,30,0,38,1,43.28%
80C*-Youth Adult Leaders Sun Night '22-23,03/05/2023,11,0,8,0,57.89%
80C-Youth HS Boys 2021-2022,03/05/2023,8,0,17,0,32.00%
80C-Youth HS Girls 2021-2022,03/05/2023,10,0,26,0,27.78%
80C-Youth MS Boys 2021-2022,03/05/2023,15,0,29,0,34.09%
80C-Youth MS Girls 2021-2022,03/05/2023,4,0,40,0,9.09%
82A*-KIDS SS Leaders 930,03/05/2023,9,0,1,0,90.00%
82A-KIDS 1st Grade 930 Rm 12,03/05/2023,4,0,13,0,23.53%
82A-KIDS 2nd Grade 930 Rm 11,03/05/2023,3,0,17,0,15.00%
82A-KIDS 3rd Grade 930 Rm 11,03/05/2023,5,0,11,0,31.25%
82A-KIDS 4th Girls 930 Rm 20,03/05/2023,3,0,7,0,30.00%
82A-KIDS 4th Guys 930 Rm 20,03/05/2023,1,0,6,0,14.29%
82A-KIDS 5th Girls 930 Rm 20,03/05/2023,1,0,4,0,20.00%
82A-KIDS 5th Guys 930 Rm 20,03/05/2023,1,0,6,0,14.29%
82A-KIDS Kindergarten (9:30am) RM12,03/05/2023,4,0,18,0,18.18%
82B*-KIDS Church Leaders 11am,03/05/2023,7,0,8,0,46.67%
82B-KIDS Church 11am Room 05,03/05/2023,49,0,84,0,36.84%
84D-KIDS CLUB 1st GRADE - RM 08,03/05/2023,1,0,12,0,7.69%
84D-KIDS CLUB 2nd & 3rd RM 20,03/05/2023,1,0,13,0,7.14%
84D-KIDS CLUB 4th & 5th GIRLS - RM 16,03/05/2023,1,0,6,0,14.29%
84D-KIDS CLUB CUBBIES RM 110,03/05/2023,1,0,16,0,5.88%
84D-KIDS CLUB KINDERGARTEN - RM 09,03/05/2023,1,0,11,0,8.33%
86A*-PRE Workers 930,03/05/2023,6,0,6,0,50.00%
86A-PRE Babies/Toddlers 9:30 (RM 118),03/05/2023,3,0,9,0,25.00%
86A-PRE Older Preschool 9:30 (RM 108),03/05/2023,3,0,12,0,20.00%
86B*-PRE Workers 11am,03/05/2023,7,0,42,3,8.70%
86B-PRE - Babies/Toddlers 11:00 (RM 118),03/05/2023,5,0,17,2,15.00%
86B-PRE - Older Preschool 11:00 (RM 108),03/05/2023,8,0,29,2,17.14%
86B-PRE - Younger Preschool 11:00 (RM 109),03/05/2023,4,0,16,0,20.00%
84D-KIDS CLUB 1st GRADE - RM 08,03/01/2023,8,0,5,0,61.54%
84D-KIDS CLUB 2nd & 3rd RM 15,03/01/2023,5,0,3,0,62.50%
84D-KIDS CLUB 2nd & 3rd RM 20,03/01/2023,4,0,10,0,28.57%
84D-KIDS CLUB 4TH & 5TH BOYS - RM 14,03/01/2023,7,0,2,0,77.78%
84D-KIDS CLUB 4th & 5th GIRLS - RM 16,03/01/2023,4,0,3,0,57.14%
84D-KIDS CLUB CUBBIES RM 110,03/01/2023,9,0,8,0,52.94%
84D-KIDS CLUB KINDERGARTEN - RM 09,03/01/2023,5,0,7,0,41.67%
84D-KIDS CLUB PUGGLES RM 111 (2's),03/01/2023,3,0,2,0,60.00%
44D-WM Garden at Grove Tuesday Morning,02/28/2023,36,0,39,0,48.00%
44D-WM Garden at Grove Tuesday Night,02/28/2023,21,0,68,0,23.60%
42C-Man2Man Sunday Group,02/26/2023,7,0,13,1,31.58%
42D-Man2Man Wednesday Group,02/26/2023,18,0,52,0,25.71%
70A-SS Adult Cobb - Median Adults - Worship Studio,02/26/2023,10,0,15,4,28.57%
70A-SS Adult College RM 219,02/26/2023,8,0,89,1,7.29%
70A-SS Adult Grace and Truth - Kunsitis-Rm 172,02/26/2023,8,0,11,0,42.11%
70A-SS Adult Homebuilders-Rm 212,02/26/2023,25,0,14,0,64.10%
70A-SS Adult Penner - Rm 210,02/26/2023,15,0,11,1,56.00%
70A-SS Adult Truth Seekers - Cantrell Rm 205,02/26/2023,25,0,47,1,33.80%
70A-SS Adults McGraw-Median Adults-Rm 105,02/26/2023,39,0,35,1,52.05%
70A-SS WM Word of Truth Class-Rm 171,02/26/2023,8,0,13,2,31.58%
80A-Youth Sunday Morning Lounge,02/26/2023,38,0,31,0,55.07%
80C*-Youth Adult Leaders Sun Night '22-23,02/26/2023,12,0,8,1,57.89%
80C-Youth HS Boys 2021-2022,02/26/2023,7,0,18,0,28.00%
80C-Youth HS Girls 2021-2022,02/26/2023,12,0,24,0,33.33%
80C-Youth MS Boys 2021-2022,02/26/2023,15,0,29,0,34.09%
80C-Youth MS Girls 2021-2022,02/26/2023,7,0,37,0,15.91%
82A*-KIDS SS Leaders 930,02/26/2023,10,0,0,0,100.00%
82A-KIDS 1st Grade 930 Rm 12,02/26/2023,5,0,12,0,29.41%
82A-KIDS 2nd Grade 930 Rm 11,02/26/2023,3,0,17,0,15.00%
82A-KIDS 3rd Grade 930 Rm 11,02/26/2023,5,0,12,1,25.00%
82A-KIDS 4th Girls 930 Rm 20,02/26/2023,3,0,7,0,30.00%
82A-KIDS 4th Guys 930 Rm 20,02/26/2023,1,0,6,0,14.29%
82A-KIDS 5th Girls 930 Rm 20,02/26/2023,3,0,2,0,60.00%
82A-KIDS 5th Guys 930 Rm 20,02/26/2023,1,0,6,0,14.29%
82A-KIDS Kindergarten (9:30am) RM12,02/26/2023,8,0,14,0,36.36%
